iter	Passed	Remaining
0	43	43781
1	92	46157
2	137	45787
3	183	45580
4	228	45529
5	273	45257
6	315	44740
7	360	44719
8	408	44956
9	456	45223
10	506	45580
11	551	45379
12	600	45590
13	642	45257
14	687	45144
15	733	45116
16	776	44895
17	820	44740
18	869	44884
19	915	44845
20	958	44681
21	1007	44806
22	1055	44817
23	1099	44699
24	1144	44622
25	1192	44676
26	1240	44691
27	1287	44702
28	1336	44753
29	1380	44641
30	1427	44626
31	1473	44560
32	1517	44456
33	1563	44424
34	1605	44254
35	1651	44228
36	1700	44264
37	1746	44209
38	1792	44161
39	1838	44117
40	1882	44022
41	1927	43959
42	1975	43964
43	2018	43858
44	2060	43727
45	2102	43612
46	2151	43616
47	2198	43602
48	2242	43523
49	2284	43412
50	2328	43327
51	2373	43276
52	2423	43306
53	2469	43270
54	2513	43186
55	2559	43138
56	2606	43118
57	2653	43095
58	2698	43035
59	2747	43040
60	2792	42983
61	2834	42887
62	2878	42814
63	2921	42725
64	2966	42672
65	3011	42610
66	3058	42585
67	3102	42527
68	3148	42486
69	3195	42454
70	3241	42414
71	3290	42413
72	3335	42361
73	3377	42270
74	3420	42192
75	3471	42207
76	3516	42147
77	3563	42126
78	3612	42110
79	3656	42053
80	3705	42037
81	3750	41991
82	3798	41964
83	3843	41907
84	3885	41828
85	3932	41792
86	3982	41788
87	4028	41751
88	4075	41714
89	4126	41725
90	4174	41700
91	4220	41649
92	4264	41588
93	4308	41523
94	4357	41509
95	4401	41447
96	4443	41364
97	4491	41341
98	4537	41297
99	4582	41241
100	4627	41187
101	4675	41164
102	4725	41156
103	4773	41122
104	4820	41087
105	4868	41061
106	4916	41032
107	4960	40973
108	5009	40949
109	5054	40895
110	5103	40871
111	5150	40834
112	5201	40829
113	5246	40772
114	5292	40726
115	5340	40695
116	5391	40691
117	5436	40635
118	5483	40594
119	5532	40571
120	5581	40543
121	5628	40507
122	5678	40486
123	5721	40422
124	5769	40388
125	5816	40347
126	5864	40313
127	5912	40275
128	5961	40254
129	6006	40198
130	6057	40184
131	6107	40164
132	6156	40135
133	6205	40106
134	6251	40053
135	6300	40029
136	6351	40011
137	6400	39978
138	6443	39914
139	6491	39878
140	6539	39841
141	6583	39778
142	6632	39748
143	6678	39701
144	6723	39644
145	6771	39606
146	6818	39564
147	6867	39531
148	6913	39487
149	6960	39443
150	7001	39366
151	7049	39329
152	7112	39374
153	7167	39377
154	7218	39352
155	7269	39328
156	7322	39319
157	7373	39296
158	7425	39278
159	7476	39253
